config_id,model_name,batch_size,epochs,learning_rate,warm_up,dropout,training_time,peak_memory,test_mse,test_mae,test_rmse,test_pearson,use_reference
0,indobenchmark/indobert-lite-base-p2,4,44,0.0005,0.0,0.0,2185.78879570961,216.8994140625,0.012128585627215216,0.086600535,0.1105705,0.9055897542395734,True
1,indobenchmark/indobert-lite-base-p2,4,36,0.001,0.0,0.0,1925.0127124786377,216.8994140625,0.01962371573317796,0.11322212,0.14033113,0.8673073627874059,True
2,indobenchmark/indobert-lite-base-p2,4,36,0.002,0.0,0.0,1927.3657174110413,217.3994140625,0.02009425681438491,0.114701636,0.14234494,0.8472823344067073,True
3,indobenchmark/indobert-lite-base-p2,4,43,0.005,0.0,0.0,2325.3619496822357,217.3994140625,0.03931603057232375,0.15645304,0.19891855,0.7870236164855733,True
4,indobenchmark/indobert-lite-base-p2,8,49,0.0005,0.0,0.0,1889.2347157001495,283.8916015625,0.014350488991476595,0.09314496,0.1197855,0.8919447433214966,True
5,indobenchmark/indobert-lite-base-p2,8,41,0.001,0.0,0.0,1534.7069959640503,283.8916015625,0.013497444583723943,0.09166826,0.116158284,0.8938779181155991,True
6,indobenchmark/indobert-lite-base-p2,8,51,0.002,0.0,0.0,1911.182481765747,283.8916015625,0.021354820299893617,0.11230767,0.14592093,0.8333425391384088,True
7,indobenchmark/indobert-lite-base-p2,8,31,0.005,0.0,0.0,1162.605431318283,283.8916015625,0.02224195791253199,0.117031455,0.14850104,0.8494451035320774,True
8,indobenchmark/indobert-lite-base-p2,16,72,0.0005,0.0,0.0,2598.478053331375,412.6806640625,0.012339069601148367,0.08583876,0.111302815,0.9021141778106274,True
9,indobenchmark/indobert-lite-base-p2,16,70,0.001,0.0,0.0,2528.895707130432,412.6806640625,0.012163623018811147,0.086003326,0.110382706,0.906096021028226,True
10,indobenchmark/indobert-lite-base-p2,16,51,0.002,0.0,0.0,1842.4367532730103,412.6806640625,0.015999676752835514,0.096864074,0.12666067,0.8719672318208728,True
11,indobenchmark/indobert-lite-base-p2,16,23,0.005,0.0,0.0,834.2349457740784,412.6806640625,0.03040753932048877,0.13420253,0.17481017,0.7712334547533458,True
12,indobenchmark/indobert-lite-base-p2,4,50,0.0005,0.0,0.3,2012.7347362041473,412.6806640625,0.014806943201983813,0.0972246,0.122178674,0.8858571642316846,True
13,indobenchmark/indobert-lite-base-p2,4,22,0.001,0.0,0.3,890.0931768417358,412.6806640625,0.017846228181345698,0.109305836,0.13412206,0.8552737558727279,True
14,indobenchmark/indobert-lite-base-p2,4,23,0.002,0.0,0.3,950.945508480072,412.6806640625,0.040931116281232485,0.16058435,0.20310654,0.7200864156751003,True
15,indobenchmark/indobert-lite-base-p2,4,62,0.005,0.0,0.3,2600.89599442482,412.6806640625,0.06363285096595064,0.20640528,0.2531307,0.5809812743781759,True
16,indobenchmark/indobert-lite-base-p2,8,32,0.0005,0.0,0.3,1252.4233567714691,412.6806640625,0.01479635590221733,0.09844323,0.12185119,0.8808184909754184,True
17,indobenchmark/indobert-lite-base-p2,8,37,0.001,0.0,0.3,1483.9471151828766,412.6806640625,0.017433258914388718,0.10178021,0.13179064,0.8594942391540941,True
18,indobenchmark/indobert-lite-base-p2,8,22,0.002,0.0,0.3,887.4123620986938,412.6806640625,0.02090064176979164,0.116505414,0.1447289,0.8398465583531697,True
19,indobenchmark/indobert-lite-base-p2,8,85,0.005,0.0,0.3,3349.9051942825317,412.6806640625,0.03312662180202703,0.14336039,0.18253598,0.8197616276361466,True
20,indobenchmark/indobert-lite-base-p2,16,30,0.0005,0.0,0.3,1149.9494626522064,412.6806640625,0.014278531447052956,0.093424566,0.11960257,0.8880678963699018,True
21,indobenchmark/indobert-lite-base-p2,16,26,0.001,0.0,0.3,998.2386507987976,412.6806640625,0.014672838275631268,0.09515871,0.12131327,0.8819392646095778,True
22,indobenchmark/indobert-lite-base-p2,16,57,0.002,0.0,0.3,2187.276979446411,412.6806640625,0.0172053895269831,0.10385331,0.13122968,0.8613086627630951,True
23,indobenchmark/indobert-lite-base-p2,16,22,0.005,0.0,0.3,855.2450778484344,412.6806640625,0.025831242029865583,0.12598261,0.16081263,0.7820432558473343,True
