config_id,epoch,train_mse,train_mae,train_rmse,train_pearson,valid_mse,valid_mae,valid_rmse,valid_pearson
0,1,0.028195833346169246,0.12234161,0.16797261,0.8509185365548071,0.017708427615135032,0.094503194,0.13307302,0.9158459915705774
0,2,0.015187400305365915,0.08609051,0.12319482,0.9225935417018201,0.018561902962734595,0.096671656,0.13624208,0.9139574791274659
0,3,0.01046220783500484,0.07044999,0.10230506,0.9473125054581605,0.016869915982562246,0.09076907,0.12988424,0.9213499267269011
0,4,0.007897851567141791,0.061324198,0.08889797,0.9604965581918499,0.016317017513382083,0.08882647,0.12773809,0.9229409421159143
0,5,0.005064790106440059,0.05027804,0.07119479,0.9748273673279381,0.015742558702899544,0.08223557,0.12546936,0.9260242563844917
0,6,0.003972140302361376,0.044309292,0.06300272,0.9803469487716182,0.015857847400612253,0.08602366,0.12592794,0.9253413623207779
0,7,0.0029030632294984628,0.038295012,0.05387692,0.9856614879356718,0.0163783585600208,0.083138466,0.12797795,0.925120931681149
0,8,0.0022545229029193414,0.033318218,0.047489386,0.9888794340988526,0.01702305729793129,0.08443513,0.13047244,0.92127737054742
0,9,0.0021305957607479116,0.032141473,0.046166975,0.9894922142704633,0.014468467027387199,0.079983525,0.120284945,0.9327613653001101
0,10,0.001787990974131426,0.029537199,0.04228286,0.9911990833221268,0.015867538473970603,0.08176138,0.12596641,0.9248645175665204
0,11,0.0016050859139111818,0.027950125,0.0400712,0.9920977192572176,0.016251224478907592,0.08169064,0.1274803,0.9249509443343223
0,12,0.002075038359025324,0.030441443,0.04546134,0.9898143984811117,0.018590543136073678,0.08893192,0.13634714,0.9182897042705487
0,13,0.004424057179473441,0.043471646,0.066537485,0.9780522686588273,0.015887238434515893,0.08268592,0.12604459,0.9247565621234225
