config_id,epoch,train_mse,train_mae,train_rmse,train_pearson,valid_mse,valid_mae,valid_rmse,valid_pearson,learning_rate
0,1,0.07366300906985998,0.21926549,0.27156305,0.5382677140862899,0.0548852588264988,0.20207667,0.23507091,0.7613934423416869,2e-05
0,2,0.04753882239107043,0.17242816,0.21825418,0.730901688496529,0.04402557789133145,0.16753213,0.20955543,0.7784945022623224,2e-05
0,3,0.04139414516743273,0.1603172,0.20363858,0.7707213683382218,0.04154243234258432,0.1592457,0.20385118,0.804775567792194,2e-05
0,4,0.03536905189277604,0.14693707,0.18806481,0.8086542635958855,0.04057375556574418,0.13955168,0.20132047,0.8222470785899457,2e-05
0,5,0.030555602398235352,0.13472171,0.17451,0.8376429210401333,0.03371154635141675,0.13265756,0.18398724,0.836242672334407,2e-05
0,6,0.02781283503398299,0.12761916,0.16699907,0.8525266982019074,0.031572375554018296,0.12875046,0.17811847,0.8461816371378672,2e-05
0,7,0.024677130195777865,0.11777577,0.15723526,0.870534048785217,0.03282941236662177,0.12857057,0.18192455,0.8438702118879584,2e-05
0,8,0.023403715763706714,0.11458546,0.15318471,0.8775605630159907,0.030431434906159457,0.12747706,0.17526583,0.8493258048280411,2e-05
0,9,0.020565560522954912,0.10652842,0.14340712,0.893595041535191,0.029570519386862334,0.11892653,0.17280681,0.8553084942537871,2e-05
0,10,0.018192255046451465,0.098976515,0.13445726,0.9070767643737975,0.03105894809302229,0.12761676,0.17727207,0.8483060922886514,2e-05
0,11,0.015339611957315355,0.09031266,0.124030955,0.9215178604095668,0.03153222788555118,0.12006499,0.17884281,0.8497598863700425,2e-05
0,12,0.015335852847783826,0.090732016,0.12400113,0.9216252550222175,0.030260957562579557,0.11823621,0.1746701,0.851562612229218,2e-05
0,13,0.012183354701846838,0.07989825,0.11034644,0.9384621255925915,0.03162578976928042,0.12943634,0.17920317,0.8585797068822172,2e-05
0,14,0.010116438772529364,0.07235245,0.10041856,0.9492871406253224,0.031212838706918634,0.11354768,0.17782208,0.8537358724335521,2e-05
0,15,0.010823242361075245,0.074314855,0.10418956,0.9453150945571251,0.03260776618173203,0.11943475,0.18168318,0.8479762542523106,2e-05
0,16,0.007194388632779009,0.061640475,0.08494541,0.9639983904821713,0.03145876727425135,0.11709238,0.17792514,0.8504094335972026,2e-05
0,17,0.006451490976614877,0.057954222,0.08020658,0.9679933835104344,0.03153844768754565,0.11693651,0.17859334,0.8481843632060633,2e-05
0,18,0.0061362266552168875,0.056922805,0.07826077,0.9695209974440688,0.035054199666214675,0.120388806,0.18822947,0.8478125641420572,2e-05
