config_id,model_name,batch_size,epochs,learning_rate_backbone,learning_rate_head,warm_up,dropout,training_time,peak_memory,test_mse,test_mae,test_rmse,test_pearson,use_reference
0,indobenchmark/indobert-lite-base-p2,8,36,2e-05,0.001,0.0,0.3,3932.619597673416,2532.02978515625,0.006991138270435234,0.061549276,0.083614044,0.9459301439652849,True
1,indobenchmark/indobert-lite-base-p2,8,18,2e-05,0.001,0.0,0.5,1992.5025980472565,2533.13134765625,0.007629398675635457,0.06714621,0.08745076,0.9428052161112994,True
2,indobenchmark/indobert-lite-base-p2,16,45,2e-05,0.002,0.0,0.3,4635.9763424396515,4898.12353515625,0.006744068767875433,0.061627403,0.08229761,0.9488435802631496,True
3,indobenchmark/indobert-lite-base-p2,16,21,2e-05,0.002,0.0,0.5,2235.006387233734,4898.12353515625,0.007372380762050549,0.06559888,0.08601003,0.9434972145141202,True
