config_id,epoch,train_mse,train_mae,train_rmse,train_pearson,valid_mse,valid_mae,valid_rmse,valid_pearson,learning_rate
0,1,0.022425765136842492,0.10738338,0.14989088,0.858052153276366,0.00946257438044995,0.07040777,0.097275764,0.9424488941435467,2e-05
0,2,0.005682155572732469,0.05653936,0.07538946,0.9623316442059554,0.005381085356930271,0.052354384,0.073355876,0.9664621338474576,2e-05
0,3,0.002566690869946225,0.037369266,0.050702583,0.9830175590158011,0.0033490408071277975,0.038685422,0.0578709,0.9801558446801684,2e-05
0,4,0.001429547766672409,0.027174061,0.037808724,0.9905936747721887,0.0029959525151449875,0.035777863,0.05473529,0.9823806755698457,2e-05
0,5,0.0010226721682294138,0.022494601,0.03198123,0.9932761137242199,0.00235165880015605,0.029366156,0.048493903,0.9851622683497863,2e-05
0,6,0.0009323160622968607,0.021095343,0.03054786,0.9938667567419093,0.0024464000137716844,0.029456489,0.049461097,0.9856802621528276,2e-05
0,7,0.0008049203541529481,0.01980463,0.028386625,0.9947067974288069,0.0022208671010351586,0.02886478,0.047126077,0.9859970850872077,2e-05
0,8,0.0008409967121383722,0.020069923,0.029021854,0.9944680517207367,0.0022281542369455565,0.02759414,0.04720333,0.9858542608595456,2e-05
0,9,0.0007530818863612235,0.019055527,0.02743498,0.9950561587416292,0.0022712313572507505,0.026959151,0.047657438,0.9864651214940168,2e-05
0,10,0.0007414413776132278,0.019105086,0.02724902,0.9951247247782187,0.0021891870516507574,0.027036825,0.04678875,0.9866953574966797,2e-05
0,11,0.0007786575930817749,0.019438848,0.027921239,0.9948808886708499,0.0021723229971636706,0.027825782,0.046608184,0.9869103528771888,2e-05
0,12,0.0006746386437221987,0.018180875,0.025984848,0.995570838290482,0.0020435829464986455,0.024866885,0.045206007,0.987554007464899,2e-05
0,13,0.0006484141246341865,0.0176347,0.025480364,0.9957401059291001,0.0018859513074858114,0.02515187,0.04342754,0.9882473316374049,2e-05
0,14,0.0007465247080730966,0.01946652,0.02723662,0.9951347897121708,0.0020442104535807934,0.026084846,0.045212947,0.9873774329364717,2e-05
0,15,0.000759284762343387,0.018989285,0.027568676,0.9950131897649912,0.002273509934942316,0.028814951,0.04768134,0.9867945487928012,2e-05
0,16,0.0007899951823739835,0.020033909,0.028124258,0.9948124429108474,0.0021377518957403177,0.027648324,0.04623583,0.9875103564480292,2e-05
0,17,0.0007579635911844383,0.019216105,0.027534138,0.9950246483672339,0.001930519072629977,0.027095692,0.043937672,0.9886229093550867,2e-05
