config_id,model_name,batch_size,epochs,learning_rate_backbone,learning_rate_head,warm_up,training_time,peak_memory,test_mse,test_mae,test_rmse,test_pearson,use_reference
31,indobenchmark/indobert-lite-base-p2,8,26,2e-05,0.002,0.0,2783.504086494446,2533.63134765625,0.011534975950295727,0.08066267,0.107674345,0.9081234758945502,False
32,indobenchmark/indobert-lite-base-p2,16,25,1e-05,0.001,0.0,2462.9269185066223,4896.27197265625,0.012103618402034045,0.082614504,0.1103406,0.9034580913550448,False
33,indobenchmark/indobert-lite-base-p2,16,41,1e-05,0.002,0.0,4035.4300179481506,4897.62353515625,0.01176258282115062,0.08303673,0.108726874,0.9096910681308921,False
34,indobenchmark/indobert-lite-base-p2,16,35,2e-05,0.001,0.0,3437.0820636749268,4897.99853515625,0.012141750411440928,0.08363519,0.11044425,0.9042653274862413,False
35,indobenchmark/indobert-lite-base-p2,16,22,2e-05,0.002,0.0,2165.532356262207,4897.99853515625,0.011187618381033342,0.08101427,0.106067985,0.9112448042666808,False
36,indobenchmark/indobert-lite-base-p2,4,52,1e-05,0.001,0.3,6098.833518981934,4897.99853515625,0.010534112089468787,0.07816823,0.102953605,0.917191580797025,False
37,indobenchmark/indobert-lite-base-p2,4,36,1e-05,0.002,0.3,4210.56422662735,4897.99853515625,0.01286599167312185,0.08755038,0.113898054,0.900010910969777,False
38,indobenchmark/indobert-lite-base-p2,4,43,2e-05,0.001,0.3,5256.155550956726,4897.99853515625,0.012580637996143196,0.08390725,0.11257893,0.9066734553363265,False
39,indobenchmark/indobert-lite-base-p2,4,33,2e-05,0.002,0.3,4001.312837123871,4897.99853515625,0.011526908539963188,0.080359556,0.10778643,0.910954192824764,False
40,indobenchmark/indobert-lite-base-p2,8,42,1e-05,0.001,0.3,4622.278722524643,4897.99853515625,0.013382603181526065,0.08761717,0.11581529,0.893996882471361,False
41,indobenchmark/indobert-lite-base-p2,8,27,1e-05,0.002,0.3,2842.3061027526855,4897.99853515625,0.011508351742910842,0.084815875,0.10710142,0.9091334958773399,False
42,indobenchmark/indobert-lite-base-p2,8,37,2e-05,0.001,0.3,3893.546097278595,4897.99853515625,0.011344674400364359,0.08126343,0.10678871,0.9099454065269005,False
43,indobenchmark/indobert-lite-base-p2,8,22,2e-05,0.002,0.3,2316.1269433498383,4897.99853515625,0.012922689054782192,0.08815942,0.1135812,0.9023619994700326,False
44,indobenchmark/indobert-lite-base-p2,16,76,1e-05,0.001,0.3,7468.254490375519,4897.99853515625,0.011679084630062182,0.08111679,0.108305,0.9081192740480082,False
45,indobenchmark/indobert-lite-base-p2,16,43,1e-05,0.002,0.3,4200.34222817421,4898.60009765625,0.011061804213871559,0.08112772,0.10539121,0.9140537457530694,False
46,indobenchmark/indobert-lite-base-p2,16,26,2e-05,0.001,0.3,2540.643270254135,4898.60009765625,0.013650035671889781,0.08913139,0.11714492,0.8998181201902404,False
47,indobenchmark/indobert-lite-base-p2,16,27,2e-05,0.002,0.3,2652.2132313251495,4898.72509765625,0.012808180693536998,0.08929667,0.11334858,0.9004655463205627,False
