config_id,epoch,train_mse,train_mae,train_rmse,train_pearson,valid_mse,valid_mae,valid_rmse,valid_pearson,learning_rate
0,1,0.029682799913320977,0.12689416,0.17221434,0.7777309391421475,0.02076714219421976,0.10584573,0.14462027,0.8379091965318497,2e-05
0,2,0.012962135935306145,0.086118415,0.113850914,0.9081367177066058,0.01803447065726181,0.09566267,0.1352259,0.8639973119257293,2e-05
0,3,0.008051998826180623,0.068830766,0.08974726,0.9438713231767027,0.023942106224475772,0.11552226,0.15544501,0.8680420998703862,2e-05
0,4,0.006005339128737475,0.05937828,0.077515066,0.9584145823737178,0.015755813753828448,0.08558476,0.12639634,0.8786645391059726,2e-05
0,5,0.0047425745810742055,0.052887026,0.068862095,0.9673288881802573,0.01735992997607725,0.09410593,0.13267346,0.8758104075221294,2e-05
0,6,0.0038190371556211344,0.04683647,0.061809212,0.9737604159690701,0.014281820475675718,0.08354998,0.120292865,0.8830343207707483,2e-05
0,7,0.003352790320698481,0.04436742,0.05791816,0.9769964521084554,0.01660552595044633,0.08686956,0.12975886,0.8784579484495691,2e-05
0,8,0.002883729156480096,0.04068819,0.05371359,0.9802418270738831,0.020546210780998483,0.099076666,0.14434113,0.879531379295078,2e-05
0,9,0.0028431087265038788,0.04103025,0.05333307,0.9805339420676649,0.016974042931737873,0.090787165,0.13119856,0.8752731456803837,2e-05
0,10,0.0028544027495414734,0.04092598,0.05344194,0.98045187842345,0.01688244638498199,0.090321824,0.1308438,0.8766871325664096,2e-05
0,11,0.0027715417343421914,0.040592406,0.052660175,0.9810184571088462,0.018466044137043086,0.09492269,0.13675153,0.8783715154302976,2e-05
0,12,0.002474544647437516,0.038188778,0.049641814,0.9831547518326035,0.018504044250202394,0.09638999,0.13698411,0.8848540172943515,2e-05
0,13,0.002285794391253012,0.036103066,0.04779665,0.9843918691140059,0.015690933443175896,0.085669704,0.12614252,0.884036101264641,2e-05
0,14,0.0019478345959605492,0.03358286,0.0441101,0.9867223629787544,0.01672134939602714,0.09007888,0.13020489,0.8859975202637697,2e-05
0,15,0.0021475661033036886,0.035707664,0.04634355,0.9853340513150939,0.018275483236518793,0.09607732,0.13602701,0.8819110258484648,2e-05
1,1,0.029361866991999604,0.12878704,0.17134874,0.780059883030853,0.023932763998379448,0.1105897,0.15545513,0.8148856925087846,2e-05
1,2,0.014040207773067326,0.0906801,0.11841939,0.9004213607685183,0.01991610506903035,0.106042296,0.1420207,0.857619466671662,2e-05
1,3,0.010748875950726683,0.07870569,0.10369813,0.924532882120572,0.017357742066788313,0.09296469,0.13266495,0.8615739233374115,2e-05
1,4,0.006701482418780003,0.06203914,0.081884295,0.9535288020225935,0.01674165996869474,0.090202704,0.13017656,0.8727945309424964,2e-05
1,5,0.005932859634124037,0.058852244,0.07703897,0.9590042250084081,0.01830718166160363,0.09374114,0.13602705,0.8650857235209217,2e-05
1,6,0.004646788960446225,0.052735046,0.06817438,0.9680001997622326,0.015865081701324217,0.08428609,0.12675178,0.8729280654319805,2e-05
1,7,0.003872323355574387,0.047779363,0.062240288,0.9734263713841131,0.017762708113339073,0.090198554,0.1339656,0.8754628540416393,2e-05
1,8,0.0036845814614357084,0.046678945,0.060704492,0.9747140294922974,0.01521791800230319,0.08659258,0.124219924,0.8820972885103577,2e-05
1,9,0.0035660260608697215,0.046211522,0.0597328,0.9755437903275268,0.01665794065532585,0.0890501,0.12985279,0.8698478838119795,2e-05
1,10,0.003183836047704224,0.043430045,0.056433827,0.9781970135354962,0.016087830019791402,0.08878758,0.12772304,0.8762253340321841,2e-05
1,11,0.003068410501404389,0.04262712,0.055403344,0.9789948428439372,0.017141114945169882,0.09259069,0.13164704,0.8794699088329297,2e-05
1,12,0.0030717617247259642,0.042503897,0.055392496,0.979006035243197,0.02039136063454121,0.10255752,0.1437839,0.8692919038164363,2e-05
1,13,0.0029057953180735042,0.041431062,0.053905178,0.9801278992605696,0.014402860217766525,0.084949106,0.120825805,0.8860938685315816,2e-05
1,14,0.002792141278711323,0.040658645,0.05282419,0.9809322838091643,0.015648147507346475,0.08583461,0.12581925,0.8799348980671157,2e-05
1,15,0.002418057125260445,0.037528004,0.049186572,0.9834654443779508,0.01698683183726475,0.09057374,0.1311896,0.8754746779216012,2e-05
1,16,0.0025839611581967604,0.039240513,0.05083177,0.9823451930304866,0.016776269361057698,0.08806449,0.13042761,0.8765353622452801,2e-05
1,17,0.0023358262469798242,0.036607113,0.048340704,0.9840395389624632,0.01732360460273749,0.08986649,0.13251765,0.8761293671715453,2e-05
1,18,0.002283576171228169,0.036625158,0.047714192,0.9844572490267108,0.014975802947042717,0.085457765,0.123053156,0.8829686346576514,2e-05
1,19,0.0021616686785861684,0.03583251,0.046496183,0.9852623695874181,0.020666797427650267,0.10080348,0.1445781,0.8631439592516035,2e-05
1,20,0.0022960908000964207,0.03643386,0.04791745,0.9843138709475435,0.018582088181843842,0.09408639,0.13724326,0.8707953390002415,2e-05
1,21,0.002268970046324599,0.035895035,0.047622003,0.9845324207303494,0.015479124490714943,0.08550931,0.12527119,0.8764953899347064,2e-05
1,22,0.0021357403424589624,0.03487785,0.04622017,0.985422103638668,0.01553689763251761,0.08700323,0.12529276,0.8770654917428858,2e-05
2,1,0.030061441306111828,0.12647432,0.17338446,0.7747115984215707,0.023137094552145788,0.10636029,0.15224086,0.821291181981547,2e-05
2,2,0.012181661317503584,0.08226123,0.11036499,0.9138158220056212,0.01862663111683947,0.09330391,0.13624993,0.8743397834766321,2e-05
2,3,0.007989311878565072,0.06861476,0.089369774,0.9443152567758434,0.016523541910660074,0.08878255,0.12815785,0.8765086600358439,2e-05
2,4,0.0063241770078654395,0.06083329,0.07954265,0.9561606309562125,0.015537273362968807,0.08559832,0.124760576,0.8798364251962191,2e-05
2,5,0.004356723259449023,0.05037792,0.06599996,0.9700454809157477,0.016199893412973593,0.08658795,0.127157,0.876388183888454,2e-05
2,6,0.0036352685081204573,0.04576371,0.060289647,0.9750466970657327,0.01579982612316531,0.08371602,0.12576227,0.8792776932483752,2e-05
2,7,0.003042420887395905,0.041639145,0.05516811,0.9791538153002481,0.01615278935059905,0.084282994,0.12709424,0.8812624552463671,2e-05
2,8,0.0026520042765611415,0.038877983,0.05148757,0.9818541612020455,0.016810611692360707,0.08596295,0.12963462,0.8823165808983113,2e-05
2,9,0.00239794608531955,0.038011115,0.04897243,0.9836228679561894,0.016738174366764724,0.08542482,0.12916419,0.8779613934532664,2e-05
2,10,0.002457569856343521,0.037665274,0.049576513,0.9831981958570764,0.01717171032430121,0.09025257,0.13115375,0.8807950505378623,2e-05
2,11,0.0023631072978795914,0.036402173,0.04861448,0.9838531344033221,0.016638999244336178,0.08578624,0.12898992,0.8822656722757724,2e-05
2,12,0.0021516263412059257,0.03559681,0.04633964,0.9853382420044415,0.0159864872995833,0.08438972,0.1264009,0.8830033930802106,2e-05
2,13,0.0018428751081445854,0.032947633,0.042939104,0.9874114755313494,0.01531801838427782,0.083555445,0.12384688,0.8875953647309384,2e-05
2,14,0.0016890096969937331,0.031284064,0.041103523,0.9884819056543198,0.01635902372395827,0.08309776,0.12799197,0.8829528555942443,2e-05
2,15,0.0021245800826108848,0.034544688,0.046090156,0.9854903647290365,0.015187229866299915,0.083076835,0.12318491,0.889043693298531,2e-05
2,16,0.0018605086058933096,0.033142637,0.043142524,0.9873031311185155,0.016016264674598695,0.08326992,0.12677233,0.8855337558393455,2e-05
2,17,0.0018952601609934364,0.03329361,0.04353646,0.9870676244998327,0.017362247807560145,0.08780966,0.13181505,0.882274931693412,2e-05
2,18,0.0016952440825075555,0.031080522,0.041118387,0.9884644778367562,0.014960237545892596,0.0830244,0.122342564,0.8877198867111457,2e-05
2,19,0.001587941517610599,0.030444717,0.039831784,0.9891861940725175,0.016970496262527175,0.087757096,0.1303229,0.8791246324542474,2e-05
2,20,0.0014939045271195393,0.029437978,0.038652703,0.9898212553818894,0.017846777194386557,0.08930586,0.13377145,0.8801128725228593,2e-05
2,21,0.001405858484988436,0.028494397,0.037499905,0.9904194358896389,0.0166483861307993,0.08726677,0.129048,0.8789066307735726,2e-05
2,22,0.0015100453460478076,0.029009916,0.03886447,0.989706805580419,0.017894117860123515,0.08955761,0.13387623,0.881814953009811,2e-05
2,23,0.0013361914464431405,0.027817396,0.0365571,0.9908928495834931,0.017063951292247685,0.08736961,0.13058504,0.8768290035395376,2e-05
2,24,0.0013328234879430557,0.027287548,0.0365147,0.9909210776710008,0.015578472978194003,0.08389878,0.124797665,0.8819493082446709,2e-05
2,25,0.0014671948500397554,0.028812122,0.03831226,0.9899949818811817,0.01595591165608278,0.085884996,0.12631464,0.8824869061076677,2e-05
2,26,0.001434627079302075,0.028274735,0.03788047,0.9902259232099615,0.015182960338683592,0.0841267,0.1232484,0.8914765536875379,2e-05
2,27,0.0012801672779698204,0.02691839,0.035777114,0.9912787307955576,0.015521450545983735,0.08412484,0.124519795,0.8912748530415474,2e-05
3,1,0.03229053131365609,0.13133688,0.17970113,0.75713302397542,0.022443730349617975,0.105254665,0.15002975,0.8176749057822584,2e-05
3,2,0.014527638071808511,0.09152118,0.12052065,0.8967486605318463,0.020109994561169988,0.10100915,0.14158778,0.8624907368884761,2e-05
3,3,0.009335599257066741,0.07536511,0.096626304,0.9347472557634426,0.01536843342775548,0.086328894,0.123960696,0.8850339563690589,2e-05
3,4,0.008297111107924275,0.0703328,0.09109065,0.9422796570959628,0.014958092688444865,0.08441327,0.12242841,0.8807768245922343,2e-05
3,5,0.0057154281862367325,0.058135007,0.07560311,0.9605582014731181,0.016143419012358343,0.086354464,0.12714574,0.8730828735922993,2e-05
3,6,0.005012453307406368,0.054628883,0.070789896,0.9655369545975538,0.015192467434745695,0.08348016,0.123416565,0.8797755574211207,2e-05
3,7,0.004342870031174481,0.050930608,0.06591094,0.9701572923255061,0.017926862791042636,0.09082281,0.13414933,0.883332666800692,2e-05
3,8,0.003688476906836938,0.04665146,0.060733262,0.9747106203753688,0.015155489271920588,0.08227757,0.123196274,0.8877875165752698,2e-05
3,9,0.0031977003395653146,0.04384154,0.05655368,0.9781009507266919,0.01627076447820636,0.085892245,0.12776561,0.8815654029206773,2e-05
3,10,0.002851268586650421,0.041327093,0.05340845,0.9804897119478273,0.015599746757221443,0.0841068,0.12506175,0.8854260533043603,2e-05
3,11,0.002636952384181373,0.039397333,0.051353537,0.9819754706582031,0.01555909174149511,0.084789954,0.12498737,0.8847402175602973,2e-05
3,12,0.0027509078539300832,0.040578935,0.0524364,0.981223762854349,0.015496002346346224,0.08428973,0.124710195,0.8885942804123644,2e-05
3,13,0.0028547554330739288,0.04072955,0.053431574,0.9804922618441515,0.017210295829163107,0.09018153,0.13142227,0.8810787173577856,2e-05
