config_id,epoch,train_mse,train_mae,train_rmse,train_pearson,valid_mse,valid_mae,valid_rmse,valid_pearson,learning_rate
0,1,0.04094544678238856,0.15305975,0.20223597,0.6840431903599986,0.02652624785804181,0.11935735,0.16400555,0.7707624815484049,1e-05
0,2,0.01866031850434657,0.10516671,0.13661513,0.8651538378846102,0.021299274107958708,0.10650356,0.14690804,0.8287678520382954,1e-05
0,3,0.013895901025228842,0.090446636,0.11789514,0.9014191540352677,0.022513677656846726,0.11469096,0.1510929,0.8331675085202352,1e-05
0,4,0.00853222779904886,0.07159148,0.092368454,0.9404283575968427,0.019156424585229682,0.10363891,0.13932168,0.8514881165723097,1e-05
0,5,0.00559676188736078,0.05771956,0.07481293,0.9612910083234841,0.02091746634795089,0.11060369,0.14557527,0.8731416413049833,1e-05
1,1,0.038840340738656394,0.14919966,0.19704321,0.7020471010051007,0.024878471763157804,0.11451888,0.15879194,0.7973333097012216,2e-05
1,2,0.018478673442621024,0.10475166,0.13591656,0.8674935505560231,0.019139975796498995,0.10160606,0.13931794,0.8395274383204917,2e-05
1,3,0.010966892686028417,0.081276104,0.10473018,0.9229403065765229,0.023018433654215187,0.11048554,0.15256184,0.8483476043487223,2e-05
1,4,0.00834850236907042,0.07005616,0.09137452,0.941807833983006,0.022441359744536586,0.11270251,0.15082686,0.8516044471109139,2e-05
1,5,0.005184281065008249,0.056425966,0.072009906,0.9642123598950061,0.020687004590096574,0.105704844,0.14476848,0.8692966294580408,2e-05
2,1,0.06932462722707157,0.20454925,0.2632011,0.32957671145135636,0.0543400760722795,0.18728043,0.23462716,0.4038889615447985,5e-05
2,2,0.050216270813396933,0.17510544,0.22411554,0.5643211097627981,0.032717204118078505,0.13816068,0.1800566,0.7596432790902375,5e-05
2,3,0.024831989302711178,0.114285566,0.15761898,0.8141962798792873,0.0308044619159773,0.129185,0.17635533,0.8001604788435336,5e-05
2,4,0.01810680073529545,0.09524315,0.13459426,0.8684109312297336,0.02060112940886972,0.10013691,0.14443263,0.8355101398487477,5e-05
2,5,0.011676043165794552,0.07957358,0.10805151,0.9173537179982009,0.02030669097762762,0.10370525,0.14339054,0.8462279829173612,5e-05
3,1,0.0582053125347718,0.16083133,0.24116418,0.6018918797383924,0.03264953451192317,0.12682252,0.18164374,0.7356931122247227,0.0001
3,2,0.021876283691190705,0.1129115,0.1479019,0.8420789253590654,0.02108585928282183,0.10240319,0.14599615,0.8239398290959111,0.0001
3,3,0.013615536499821806,0.091385245,0.11666062,0.9038714338289054,0.026956476525541534,0.12200351,0.16498268,0.8369226067421728,0.0001
3,4,0.010066591559666662,0.078140445,0.100312166,0.9298006865851844,0.020603427016693685,0.10762382,0.14442962,0.8367501901070369,0.0001
3,5,0.00863431928356077,0.07225915,0.09293658,0.9398813869985009,0.01781209851442664,0.09893596,0.13417852,0.8617575693272754,0.0001
4,1,0.03198780377817593,0.13554282,0.17882243,0.7618620545041744,0.02419882405350313,0.11412905,0.15665136,0.7944842811573947,1e-05
